id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,detailed_mood,speechiness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020s,euphoric,0.05,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,72,2020s,nostalgic,0.03,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,78,2010s,aggressive,0.08,0.22
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,65,2020s,nostalgic,0.04,0.06
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,80,2010s,aggressive,0.06,0.18
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,60,2020s,dreamy,0.02,0.10
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,58,2010s,romantic,0.09,0.35
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,74,2020s,melancholic,0.04,0.14
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,70,2020s,nostalgic,0.03,0.07
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,76,2020s,euphoric,0.05,0.16
11,Golden Hour,Crestwood,country,happy,0.65,104,0.88,0.72,0.45,71,2010s,romantic,0.07,0.28
12,Neon Pulse,Circuit Bay,electronic,energetic,0.89,128,0.61,0.91,0.03,82,2020s,euphoric,0.06,0.15
13,Sunday Soul,Velvet Jones,r&b,relaxed,0.55,85,0.79,0.68,0.32,68,2010s,romantic,0.12,0.20
14,Midnight Rain,The Hollows,country,sad,0.38,96,0.32,0.54,0.61,63,2010s,melancholic,0.05,0.25
15,Block Party,Krush,hip-hop,energetic,0.85,95,0.72,0.88,0.12,79,2020s,aggressive,0.18,0.22
16,String Theory,Elara Voss,classical,focused,0.25,72,0.58,0.21,0.94,55,2010s,dreamy,0.02,0.08
17,Late Night Drive,Neon Echo,r&b,moody,0.61,88,0.45,0.65,0.28,67,2020s,melancholic,0.06,0.18
18,Bass Drop,Circuit Bay,electronic,intense,0.95,140,0.55,0.94,0.02,83,2020s,aggressive,0.07,0.20
